"","ETHANE(SITE-LP_LakePark) PPBC","ETHYLENE(SITE-LP_LakePark) PPBC","PROPANE(SITE-LP_LakePark) PPBC","PROPYLENE(SITE-LP_LakePark) PPBC","ISO-BUTANE(SITE-LP_LakePark) PPBC","N-BUTANE(SITE-LP_LakePark) PPBC","ACETYLENE(SITE-LP_LakePark) PPBC","TRANS-2-BUTENE(SITE-LP_LakePark) PPBC","1-BUTENE(SITE-LP_LakePark) PPBC","CIS-2-BUTENE(SITE-LP_LakePark) PPBC","CYCLOPENTANE(SITE-LP_LakePark) PPBC","ISO-PENTANE(SITE-LP_LakePark) PPBC","N-PENTANE(SITE-LP_LakePark) PPBC","1,3-BUTADIENE(SITE-LP_LakePark) PPBC","TRANS-2-PENTENE(SITE-LP_LakePark) PPBC","1-PENTENE(SITE-LP_LakePark) PPBC","CIS-2-PENTENE(SITE-LP_LakePark) PPBC","2,2-DIMETHYLBUTANE(SITE-LP_LakePark) PPBC","2,3-DIMETHYLBUTANE(SITE-LP_LakePark) PPBC","2-METHYLPENTANE(SITE-LP_LakePark) PPBC","3-METHYLPENTANE(SITE-LP_LakePark) PPBC","ISOPRENE(SITE-LP_LakePark) PPBC","2-METHYL-1-PENTENE(SITE-LP_LakePark) PPBC","1-HEXENE(SITE-LP_LakePark) PPBC","N-HEXANE(SITE-LP_LakePark) PPBC","METHYLCYCLOPENTANE(SITE-LP_LakePark) PPBC","2,4-DIMETHYLPENTANE(SITE-LP_LakePark) PPBC","BENZENE(SITE-LP_LakePark) PPBC","CYCLOHEXANE(SITE-LP_LakePark) PPBC","2-METHYLHEXANE(SITE-LP_LakePark) PPBC","2,3-DIMETHYLPENTANE(SITE-LP_LakePark) PPBC","3-METHYLHEXANE(SITE-LP_LakePark) PPBC","2,2,4-TRIMETHYLPENTANE(SITE-LP_LakePark) PPBC","N-HEPTANE(SITE-LP_LakePark) PPBC","METHYLCYCLOHEXANE(SITE-LP_LakePark) PPBC","2,3,4-TRIMETHYLPENTANE(SITE-LP_LakePark) PPBC","TOLUENE(SITE-LP_LakePark) PPBC","2-METHYLHEPTANE(SITE-LP_LakePark) PPBC","3-METHYLHEPTANE(SITE-LP_LakePark) PPBC","N-OCTANE(SITE-LP_LakePark) PPBC","ETHYLBENZENE(SITE-LP_LakePark) PPBC","M&P-XYLENE(SITE-LP_LakePark) PPBC","STYRENE(SITE-LP_LakePark) PPBC","O-XYLENE(SITE-LP_LakePark) PPBC","N-NONANE(SITE-LP_LakePark) PPBC","ISO-PROPYLBENZENE(SITE-LP_LakePark) PPBC","ALPHA-PINENE(SITE-LP_LakePark) PPBC","N-PROPYLBENZENE(SITE-LP_LakePark) PPBC","M-ETHYLTOLUENE(SITE-LP_LakePark) PPBC","P-ETHYLTOLUENE(SITE-LP_LakePark) PPBC","1,3,5-TRI-M-BENZENE(SITE-LP_LakePark) PPBC","O-ETHYLTOLUENE(SITE-LP_LakePark) PPBC","BETA-PINENE(SITE-LP_LakePark) PPBC","1,2,4-TRI-M-BENZENE(SITE-LP_LakePark) PPBC","N-DECANE(SITE-LP_LakePark) PPBC","1,2,3-TRI-M-BENZENE(SITE-LP_LakePark) PPBC","M-DIETHYLBENZENE(SITE-LP_LakePark) PPBC","P-DIETHYLBENZENE(SITE-LP_LakePark) PPBC","N-UNDECANE(SITE-LP_LakePark) PPBC","N-DODECANE(SITE-LP_LakePark) PPBC","TNMHC(SITE-LP_LakePark) PPBC","TNMTC(SITE-LP_LakePark) PPBC"
"","Ethane","Ethylene","Propane","Propylene","Iso-butane","N-butane","Acetylene","Trans-2-butene","1-butene","Cis-2-butene","Cyclopentane","Iso-pentane","N-pentane","1,3-butadiene","Trans-2-pentene","1-pentene","Cis-2-pentene","2,2-dimethylbutane","2,3-dimethylbutane","2-methylpentane","3-methylpentane","Isoprene","2-methyl-1-pentene","1-hexene","N-hexane","Methylcyclopentane","2,4-dimethylpentane","Benzene","Cyclohexane","2-methylhexane","2,3-dimethylpentane","3-methylhexane","2,2,4-trimethylpentane","N-heptane","Methylcyclohexane","2,3,4-trimethylpentane","Toluene","2-methylheptane","3-methylheptane","N-octane","Ethylbenzene","M&p-xylene","Styrene","O-xylene","N-nonane","Iso-propylbenzene","Alpha-pinene","N-propylbenzene","M-ethyltoluene","P-ethyltoluene","1,3,5-tri-m-benzene","O-ethyltoluene","Beta-pinene","1,2,4-tri-m-benzene","N-decane","1,2,3-tri-m-benzene","M-diethylbenzene","P-diethylbenzene","N-undecane","N-dodecane","TNMHC","TNMTC"
"DATE/TIME","43202","43203","43204","43205","43214","43212","43206","43216","43280","43217","43242","43221","43220","43218","43226","43224","43227","43244","43284","43285","43230","43243","43246","43245","43231","43262","43247","45201","43248","43263","43291","43249","43250","43232","43261","43252","45202","43960","43253","43233","45203","45109","45220","45204","43235","45210","43256","45209","45212","45213","45207","45211","43257","45208","43238","45225","45218","45219","43954","43141","43102","43000"
"08/01/2025 3:00","0","0.0959","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.013","0","0","0","0","0","0","0.0425","0","0","0","0","0.0138","0","0","0","0","0.0386","0","0","0","0","0.0459","0","0.0592","0.0138","0","0.0087","0.0913","0.0304","0","0","0.0189","0.004","0","0.0437","2.211","0.5197"
"08/02/2025 1:00","0","0.0872","0","0.0227","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0115","0","0","0","0.0068","0","0.0106","0.0951","0","0","0","0","0.0612","0","0","0","0","0.0512","0","0.034","0","0","0.0718","0.0017","0.1085","0","0","0","0.1064","0.027","0","0","0","0.0586","0","0","2.4326","0.7543"
"08/03/2025 4:00","0","0.0874","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0171","0","0","0","0","0","0","0","0.0136","0.0181","0.0153","0.042","0","0","0","0","0","0","0","0","0","0.0418","0","0","0","0","0.0911","0","0.0575","0","0.0166","0","0.0807","0.0306","0","0","0","0","0","0.0227","2.5127","0.5345"
"08/04/2025 1:00","0","0.8058","0","0","0","0","0","0","0.0202","0","0","0","0","0","0","0","0","0.0097","0","0","0","0","0","0","0","0","0","0","0.0057","0.0115","0.0195","0.117","0","0","0","0","0.0495","0","0","0","0","0.0629","0.0429","0","0","0","0.0735","0","0.0622","0","0","0","0.068","0.0828","0","0.0325","0","0.0153","0.0081","0.0231","3.5916","1.5102"
"08/05/2025 3:00","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0068","0","0","0","0","0","0","0","0","0","0.0106","0.0102","0.0206","0.0187","0.0079","0","0","0","0","0","0","0","0","0","0","0","0.0178","0","0","0.0737","0.003","0.0595","0","0","0","0.0758","0.0395","0","0","0","0","0","0","2.1247","0.3441"
"08/06/2025 1:00","0","0.0862","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0132","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0064","0.0537","0.004","0.0486","0","0.0244","0","0.0922","0.0259","0","0","0","0.024","0","0","1.9543","0.3786"
"08/07/2025 3:00","0","0.1338","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0119","0.0191","0.0091","0.0248","0","0","0","0","0.0308","0","0","0","0","0","0","0.0062","0","0","0.0699","0","0.037","0","0","0","0.0913","0.0072","0","0","0","0","0","0","2.1178","0.4411"
"08/08/2025 1:00","0","0","0","0","0","0","0","0","0","0","0","0","0.0099","0","0","0","0","0","0","0","0","0","0","0","0.014","0","0","0","0.0096","0.0142","0.0045","0.0291","0","0","0","0","0","0","0","0","0","0.048","0","0.0225","0","0","0.1019","0.0059","0.0881","0","0.0062","0","0.0886","0.0353","0","0","0","0","0","0","2.2949","0.4778"
