"","ETHANE(SITE-LP_LakePark) PPBC","ETHYLENE(SITE-LP_LakePark) PPBC","PROPANE(SITE-LP_LakePark) PPBC","PROPYLENE(SITE-LP_LakePark) PPBC","ISO-BUTANE(SITE-LP_LakePark) PPBC","N-BUTANE(SITE-LP_LakePark) PPBC","ACETYLENE(SITE-LP_LakePark) PPBC","TRANS-2-BUTENE(SITE-LP_LakePark) PPBC","1-BUTENE(SITE-LP_LakePark) PPBC","CIS-2-BUTENE(SITE-LP_LakePark) PPBC","CYCLOPENTANE(SITE-LP_LakePark) PPBC","ISO-PENTANE(SITE-LP_LakePark) PPBC","N-PENTANE(SITE-LP_LakePark) PPBC","1,3-BUTADIENE(SITE-LP_LakePark) PPBC","TRANS-2-PENTENE(SITE-LP_LakePark) PPBC","1-PENTENE(SITE-LP_LakePark) PPBC","CIS-2-PENTENE(SITE-LP_LakePark) PPBC","2,2-DIMETHYLBUTANE(SITE-LP_LakePark) PPBC","2,3-DIMETHYLBUTANE(SITE-LP_LakePark) PPBC","2-METHYLPENTANE(SITE-LP_LakePark) PPBC","3-METHYLPENTANE(SITE-LP_LakePark) PPBC","ISOPRENE(SITE-LP_LakePark) PPBC","2-METHYL-1-PENTENE(SITE-LP_LakePark) PPBC","1-HEXENE(SITE-LP_LakePark) PPBC","N-HEXANE(SITE-LP_LakePark) PPBC","METHYLCYCLOPENTANE(SITE-LP_LakePark) PPBC","2,4-DIMETHYLPENTANE(SITE-LP_LakePark) PPBC","BENZENE(SITE-LP_LakePark) PPBC","CYCLOHEXANE(SITE-LP_LakePark) PPBC","2-METHYLHEXANE(SITE-LP_LakePark) PPBC","2,3-DIMETHYLPENTANE(SITE-LP_LakePark) PPBC","3-METHYLHEXANE(SITE-LP_LakePark) PPBC","2,2,4-TRIMETHYLPENTANE(SITE-LP_LakePark) PPBC","N-HEPTANE(SITE-LP_LakePark) PPBC","METHYLCYCLOHEXANE(SITE-LP_LakePark) PPBC","2,3,4-TRIMETHYLPENTANE(SITE-LP_LakePark) PPBC","TOLUENE(SITE-LP_LakePark) PPBC","2-METHYLHEPTANE(SITE-LP_LakePark) PPBC","3-METHYLHEPTANE(SITE-LP_LakePark) PPBC","N-OCTANE(SITE-LP_LakePark) PPBC","ETHYLBENZENE(SITE-LP_LakePark) PPBC","M&P-XYLENE(SITE-LP_LakePark) PPBC","STYRENE(SITE-LP_LakePark) PPBC","O-XYLENE(SITE-LP_LakePark) PPBC","N-NONANE(SITE-LP_LakePark) PPBC","ISO-PROPYLBENZENE(SITE-LP_LakePark) PPBC","ALPHA-PINENE(SITE-LP_LakePark) PPBC","N-PROPYLBENZENE(SITE-LP_LakePark) PPBC","M-ETHYLTOLUENE(SITE-LP_LakePark) PPBC","P-ETHYLTOLUENE(SITE-LP_LakePark) PPBC","1,3,5-TRI-M-BENZENE(SITE-LP_LakePark) PPBC","O-ETHYLTOLUENE(SITE-LP_LakePark) PPBC","BETA-PINENE(SITE-LP_LakePark) PPBC","1,2,4-TRI-M-BENZENE(SITE-LP_LakePark) PPBC","N-DECANE(SITE-LP_LakePark) PPBC","1,2,3-TRI-M-BENZENE(SITE-LP_LakePark) PPBC","M-DIETHYLBENZENE(SITE-LP_LakePark) PPBC","P-DIETHYLBENZENE(SITE-LP_LakePark) PPBC","N-UNDECANE(SITE-LP_LakePark) PPBC","N-DODECANE(SITE-LP_LakePark) PPBC","TNMHC(SITE-LP_LakePark) PPBC","TNMTC(SITE-LP_LakePark) PPBC"
"","Ethane","Ethylene","Propane","Propylene","Iso-butane","N-butane","Acetylene","Trans-2-butene","1-butene","Cis-2-butene","Cyclopentane","Iso-pentane","N-pentane","1,3-butadiene","Trans-2-pentene","1-pentene","Cis-2-pentene","2,2-dimethylbutane","2,3-dimethylbutane","2-methylpentane","3-methylpentane","Isoprene","2-methyl-1-pentene","1-hexene","N-hexane","Methylcyclopentane","2,4-dimethylpentane","Benzene","Cyclohexane","2-methylhexane","2,3-dimethylpentane","3-methylhexane","2,2,4-trimethylpentane","N-heptane","Methylcyclohexane","2,3,4-trimethylpentane","Toluene","2-methylheptane","3-methylheptane","N-octane","Ethylbenzene","M&p-xylene","Styrene","O-xylene","N-nonane","Iso-propylbenzene","Alpha-pinene","N-propylbenzene","M-ethyltoluene","P-ethyltoluene","1,3,5-tri-m-benzene","O-ethyltoluene","Beta-pinene","1,2,4-tri-m-benzene","N-decane","1,2,3-tri-m-benzene","M-diethylbenzene","P-diethylbenzene","N-undecane","N-dodecane","TNMHC","TNMTC"
"DATE/TIME","43202","43203","43204","43205","43214","43212","43206","43216","43280","43217","43242","43221","43220","43218","43226","43224","43227","43244","43284","43285","43230","43243","43246","43245","43231","43262","43247","45201","43248","43263","43291","43249","43250","43232","43261","43252","45202","43960","43253","43233","45203","45109","45220","45204","43235","45210","43256","45209","45212","45213","45207","45211","43257","45208","43238","45225","45218","45219","43954","43141","43102","43000"
"08/01/2025 2:00","1.4737","0.0552","1.5046","0.0804","0","1.6034","0.7083","0.0334","0","0","0","0","1.4541","1.5036","0","0","0","0","0","1.478","0","0","0","1.469","1.5105","0","0","1.5479","0.004","0.0174","0.024","0.0138","0","0","0","0","1.5101","0","0","0","0.0202","1.422","0","0.0813","0","0","0.0724","1.141","0.0792","0","0","0.0268","0.0962","1.0641","0","0","0","0.7074","0","0.0329","23.0515","20.7349"
"08/02/2025 0:00","1.5077","0.0827","1.4329","0.0484","0","1.5296","0.7073","0","0","0","0","0","1.4694","1.5391","0","0","0","0","0","1.477","0","0","0","1.5009","1.4621","0","0","1.5504","0.0164","0","0","0.0837","0","0","0","0","1.5262","0","0","0","0","1.4368","0","0","0","0","0.0987","1.2121","0.0956","0","0.0155","0","0.1009","1.1041","0","0","0","0.7772","0.0739","0.0442","23.59","20.8928"
"08/03/2025 2:00","1.4937","0.0798","1.4451","0","0","1.5341","0.7147","0","0","0","0","0","1.4447","1.5189","0","0","0","0","0","1.4764","0","0","0","1.4811","1.5288","0","0","1.5241","0.0134","0.0079","0.0155","0.1389","0","0","0","0","1.4398","0","0","0","0","1.5269","0.1412","0.0183","0","0","0.1062","1.1824","0.0658","0.0144","0","0.0183","0.1015","1.0924","0","0.0448","0","0.8454","0","0","23.5067","21.0145"
"08/03/2025 3:00","1.542","0.0932","1.4902","0","0","1.5646","0.7157","0.0223","0","0","0","0","1.4733","1.5677","0","0","0","0","0","1.5213","0.0186","0","0","1.5086","1.5275","0","0","1.5402","0.0079","0.0074","0.01","0.0236","0","0","0","0","1.5893","0","0","0","0","1.4759","0","0","0","0","0.0567","1.3198","0.0144","0","0","0","0.0937","1.258","0","0.0486","0","0.9924","0","0.0244","23.3142","21.5073"
"08/04/2025 0:00","1.4925","0.0639","1.4298","0","0","1.5083","0.724","0.0227","0","0","0","0","1.4506","1.4863","0","0","0","0","0","1.4723","0","0","0","1.4921","1.4857","0","0","1.4549","0.0098","0","0","0.1098","0","0","0","0","1.4672","0","0","0","0","1.3761","0","0","0","0","0.0843","1.206","0.0718","0","0.0151","0","0.0924","1.0794","0","0.059","0","0.8068","0","0.0363","23.7607","20.4971"
"08/05/2025 2:00","1.6322","0.0534","1.4589","0.0486","0","1.5215","0.6764","0","0","0","0","0","1.4383","1.4832","0","0","0","0","0","1.4587","0.021","0","0","1.4686","1.5417","0","0","1.5097","0.0178","0","0","0.0945","0","0","0","0","1.422","0","0","0","0","1.3746","0","0","0","0","0.0584","1.1244","0.0603","0.0093","0","0.0183","0.0858","1.0306","0","0.0363","0","0.7596","0.0144","0.0123","22.3452","20.4308"
"08/06/2025 0:00","1.4686","0.0649","1.429","0","0","1.4954","0.6992","0","0","0","0","0","1.4265","1.4931","0","0","0","0","0","1.4828","0","0","0","1.4502","1.4697","0","0","1.4234","0.0225","0.0059","0","0.0079","0","0","0","0","1.4203","0","0","0","0","1.3468","0","0","0","0","0.0871","1.1765","0.0448","0","0","0.0212","0.1081","1.021","0","0","0","0.7447","0","0.0527","22.0428","19.9623"
"08/07/2025 2:00","1.4853","0.0691","1.4428","0","0","1.497","0.6976","0","0","0","0","0","1.4407","1.5137","0","0","0.0085","0","0.021","1.5096","0","0","0","1.4651","1.5073","0","0","1.4702","0","0","0","0.1087","0","0","0","0","1.3941","0","0","0","0","1.2644","0","0.0197","0","0","0.0663","0.9342","0.0508","0","0","0","0.09","0.8456","0","0.0325","0","0.5377","0","0","21.2456","19.4719"
