"","ETHANE(SITE-LP_LakePark) PPBC","ETHYLENE(SITE-LP_LakePark) PPBC","PROPANE(SITE-LP_LakePark) PPBC","PROPYLENE(SITE-LP_LakePark) PPBC","ISO-BUTANE(SITE-LP_LakePark) PPBC","N-BUTANE(SITE-LP_LakePark) PPBC","ACETYLENE(SITE-LP_LakePark) PPBC","TRANS-2-BUTENE(SITE-LP_LakePark) PPBC","1-BUTENE(SITE-LP_LakePark) PPBC","CIS-2-BUTENE(SITE-LP_LakePark) PPBC","CYCLOPENTANE(SITE-LP_LakePark) PPBC","ISO-PENTANE(SITE-LP_LakePark) PPBC","N-PENTANE(SITE-LP_LakePark) PPBC","1,3-BUTADIENE(SITE-LP_LakePark) PPBC","TRANS-2-PENTENE(SITE-LP_LakePark) PPBC","1-PENTENE(SITE-LP_LakePark) PPBC","CIS-2-PENTENE(SITE-LP_LakePark) PPBC","2,2-DIMETHYLBUTANE(SITE-LP_LakePark) PPBC","2,3-DIMETHYLBUTANE(SITE-LP_LakePark) PPBC","2-METHYLPENTANE(SITE-LP_LakePark) PPBC","3-METHYLPENTANE(SITE-LP_LakePark) PPBC","ISOPRENE(SITE-LP_LakePark) PPBC","2-METHYL-1-PENTENE(SITE-LP_LakePark) PPBC","1-HEXENE(SITE-LP_LakePark) PPBC","N-HEXANE(SITE-LP_LakePark) PPBC","METHYLCYCLOPENTANE(SITE-LP_LakePark) PPBC","2,4-DIMETHYLPENTANE(SITE-LP_LakePark) PPBC","BENZENE(SITE-LP_LakePark) PPBC","CYCLOHEXANE(SITE-LP_LakePark) PPBC","2-METHYLHEXANE(SITE-LP_LakePark) PPBC","2,3-DIMETHYLPENTANE(SITE-LP_LakePark) PPBC","3-METHYLHEXANE(SITE-LP_LakePark) PPBC","2,2,4-TRIMETHYLPENTANE(SITE-LP_LakePark) PPBC","N-HEPTANE(SITE-LP_LakePark) PPBC","METHYLCYCLOHEXANE(SITE-LP_LakePark) PPBC","2,3,4-TRIMETHYLPENTANE(SITE-LP_LakePark) PPBC","TOLUENE(SITE-LP_LakePark) PPBC","2-METHYLHEPTANE(SITE-LP_LakePark) PPBC","3-METHYLHEPTANE(SITE-LP_LakePark) PPBC","N-OCTANE(SITE-LP_LakePark) PPBC","ETHYLBENZENE(SITE-LP_LakePark) PPBC","M&P-XYLENE(SITE-LP_LakePark) PPBC","STYRENE(SITE-LP_LakePark) PPBC","O-XYLENE(SITE-LP_LakePark) PPBC","N-NONANE(SITE-LP_LakePark) PPBC","ISO-PROPYLBENZENE(SITE-LP_LakePark) PPBC","ALPHA-PINENE(SITE-LP_LakePark) PPBC","N-PROPYLBENZENE(SITE-LP_LakePark) PPBC","M-ETHYLTOLUENE(SITE-LP_LakePark) PPBC","P-ETHYLTOLUENE(SITE-LP_LakePark) PPBC","1,3,5-TRI-M-BENZENE(SITE-LP_LakePark) PPBC","O-ETHYLTOLUENE(SITE-LP_LakePark) PPBC","BETA-PINENE(SITE-LP_LakePark) PPBC","1,2,4-TRI-M-BENZENE(SITE-LP_LakePark) PPBC","N-DECANE(SITE-LP_LakePark) PPBC","1,2,3-TRI-M-BENZENE(SITE-LP_LakePark) PPBC","M-DIETHYLBENZENE(SITE-LP_LakePark) PPBC","P-DIETHYLBENZENE(SITE-LP_LakePark) PPBC","N-UNDECANE(SITE-LP_LakePark) PPBC","N-DODECANE(SITE-LP_LakePark) PPBC","TNMHC(SITE-LP_LakePark) PPBC","TNMTC(SITE-LP_LakePark) PPBC"
"","Ethane","Ethylene","Propane","Propylene","Iso-butane","N-butane","Acetylene","Trans-2-butene","1-butene","Cis-2-butene","Cyclopentane","Iso-pentane","N-pentane","1,3-butadiene","Trans-2-pentene","1-pentene","Cis-2-pentene","2,2-dimethylbutane","2,3-dimethylbutane","2-methylpentane","3-methylpentane","Isoprene","2-methyl-1-pentene","1-hexene","N-hexane","Methylcyclopentane","2,4-dimethylpentane","Benzene","Cyclohexane","2-methylhexane","2,3-dimethylpentane","3-methylhexane","2,2,4-trimethylpentane","N-heptane","Methylcyclohexane","2,3,4-trimethylpentane","Toluene","2-methylheptane","3-methylheptane","N-octane","Ethylbenzene","M&p-xylene","Styrene","O-xylene","N-nonane","Iso-propylbenzene","Alpha-pinene","N-propylbenzene","M-ethyltoluene","P-ethyltoluene","1,3,5-tri-m-benzene","O-ethyltoluene","Beta-pinene","1,2,4-tri-m-benzene","N-decane","1,2,3-tri-m-benzene","M-diethylbenzene","P-diethylbenzene","N-undecane","N-dodecane","TNMHC","TNMTC"
"DATE/TIME","43202","43203","43204","43205","43214","43212","43206","43216","43280","43217","43242","43221","43220","43218","43226","43224","43227","43244","43284","43285","43230","43243","43246","43245","43231","43262","43247","45201","43248","43263","43291","43249","43250","43232","43261","43252","45202","43960","43253","43233","45203","45109","45220","45204","43235","45210","43256","45209","45212","45213","45207","45211","43257","45208","43238","45225","45218","45219","43954","43141","43102","43000"
"08/02/2025 21:00","6.7456","0.1556","7.3212","0.0713","0","7.6153","8.0115","0.0398","0.0394","0","0","0.0317","7.5411","7.2725","0","0.0251","0","0","0.0371","7.236","0.0746","0","0","7.1804","7.3903","0","0.0964","7.2015","0.0059","0.02","0","0.0225","0","0","0","0","7.0731","0.062","0","0.027","0","6.935","0","0.0677","0.0072","0","0.1493","7.4273","0.031","0","0","0.0251","0.1104","6.5441","0.0295","0.1004","0.0378","7.117","0.0312","0.0319","113.7563","109.9418"
"08/09/2025 21:00","6.8652","0.1375","7.3593","0.1257","0","7.6794","8.0719","0","0.0466","0.015","0","0.0251","7.5395","7.2239","0","0.062","0","0","0.0359","7.2391","0.0775","0","0","7.1727","7.4048","0","0","7.117","0.0087","0.0038","0.0087","0.2697","0","0","0","0","7.0724","0","0","0.042","0.0176","6.8868","0","0.0486","0.035","0","0.0932","7.3907","0.0705","0.0183","0","0.0208","0.0705","6.2752","0.0299","0.1183","0.0338","6.7641","0.0348","0","112.2301","109.5115"
"08/13/2025 14:00","6.1286","0.4226","6.5939","0.1746","0.0998","6.8998","5.6817","0","0.0486","0.027","0","0.0148","6.8091","6.5846","0","0.0565","0","0","0.0118","6.5257","0.0701","0.0204","0","6.5294","6.6519","0.2092","0","6.6154","0","0","0","0.0172","0.0527","0","0","0","6.3557","0.0705","0","0.0518","0","6.0654","0","0.0491","0.0208","0","0.1168","5.8484","0.0223","0","0.0157","0.059","0.1215","5.4704","0","0.0686","0.028","5.0514","0.0987","0.0977","104.1209","95.8572"
"08/16/2025 21:00","6.1727","0.4259","6.6232","0.1369","0.093","6.8846","5.623","0","0.0637","0.0249","0","0","6.7732","6.5267","0","0.0653","0","0","0","6.491","0.0736","0.0264","0","6.5168","6.6008","0.0329","0","6.6863","0.007","0.0731","0","0.0263","0.0943","0","0","0","6.3831","0.1342","0","0.0389","0.0346","6.0484","0.0204","0.0397","0","0","0.1004","5.8102","0","0","0","0.0265","0.0754","5.4028","0","0.0728","0.0221","4.9467","0.0822","0.0994","103.6793","95.3794"
"08/23/2025 21:00","6.2096","0.463","7.7889","0.6436","0.0841","6.8396","5.618","0","0.0664","0.0264","0","0.0239","6.7378","6.5611","0","0.0571","0","0","0.0202","6.4671","0.0717","0","0","6.5174","6.6598","0.2754","0.0229","6.6638","0.0076","0.0514","0","1.571","0.0958","0","0","0","6.4192","0.0707","0","0.0304","0.0539","6.0832","0","0.0257","0","0","0.0941","5.8853","0.048","0","0","0.0575","0.0633","5.3551","0","0.0669","0.028","5.0087","0.0697","0.0221","109.5753","98.9254"
"08/30/2025 21:00","6.1412","0.5141","6.6028","0.2053","0.0717","6.8363","5.4294","0","0.0787","0","0","0.0221","6.7699","6.5935","0","0.0853","0","0","0.0266","6.4964","0.074","0.0299","0","6.5345","6.7549","0.3621","0","6.9497","0.011","0.0164","0","0.0068","0.0433","0","0","0.0711","6.5018","0.1752","0.0656","0.0291","0.0348","6.1561","0","0","0.0121","0","0.1357","5.8458","0.0767","0","0.0571","0.0488","0.0495","5.316","0","0.0554","0","4.9633","0.0342","0.0516","107.0978","96.3358"
"09/06/2025 21:00","5.8118","0.5483","6.3296","0.1958","0.0829","6.7083","5.1932","0","0.1356","0.0163","0","0.0087","6.5589","6.3094","0.0258","0.0989","0.0124","0.0035","0.0173","6.3179","0.0909","0","0","6.3282","6.4995","0.3752","0.027","6.6154","0.0478","0.2056","0","1.7564","0.0401","0","0","0","6.3054","0.1601","0","0.0697","0.0673","5.9108","0","0.0575","0","0","0.1281","5.646","0.0236","0","0","0.0265","0.123","5.2795","0","0.0586","0.0327","4.9384","0.0824","0.0575","106.9993","95.3278"
"09/13/2025 21:00","6.034","0.5805","6.6065","0.1717","0.0639","6.9153","5.2797","0.021","0.0849","0.028","0","0.0204","6.8526","6.636","0.021","0.0878","0.0066","0.0105","0.0268","6.5182","0.0598","0","0.006","6.5995","6.7494","0.5651","0.0295","6.9019","0.0495","0.1412","0.444","1.8849","0.0448","0.0323","0","0","6.5685","0.1879","0","0.0754","0","6.0869","0","0.0493","0.0291","0","0.1089","5.8227","0.0248","0","0.0172","0.0293","0.0569","5.5041","0.051","0.0777","0.0263","5.0565","0.0467","0.0344","109.8362","99.3269"
