"","ETHANE(SITE-LP_LakePark) PPBC","ETHYLENE(SITE-LP_LakePark) PPBC","PROPANE(SITE-LP_LakePark) PPBC","PROPYLENE(SITE-LP_LakePark) PPBC","ISO-BUTANE(SITE-LP_LakePark) PPBC","N-BUTANE(SITE-LP_LakePark) PPBC","ACETYLENE(SITE-LP_LakePark) PPBC","TRANS-2-BUTENE(SITE-LP_LakePark) PPBC","1-BUTENE(SITE-LP_LakePark) PPBC","CIS-2-BUTENE(SITE-LP_LakePark) PPBC","CYCLOPENTANE(SITE-LP_LakePark) PPBC","ISO-PENTANE(SITE-LP_LakePark) PPBC","N-PENTANE(SITE-LP_LakePark) PPBC","1,3-BUTADIENE(SITE-LP_LakePark) PPBC","TRANS-2-PENTENE(SITE-LP_LakePark) PPBC","1-PENTENE(SITE-LP_LakePark) PPBC","CIS-2-PENTENE(SITE-LP_LakePark) PPBC","2,2-DIMETHYLBUTANE(SITE-LP_LakePark) PPBC","2,3-DIMETHYLBUTANE(SITE-LP_LakePark) PPBC","2-METHYLPENTANE(SITE-LP_LakePark) PPBC","3-METHYLPENTANE(SITE-LP_LakePark) PPBC","ISOPRENE(SITE-LP_LakePark) PPBC","2-METHYL-1-PENTENE(SITE-LP_LakePark) PPBC","1-HEXENE(SITE-LP_LakePark) PPBC","N-HEXANE(SITE-LP_LakePark) PPBC","METHYLCYCLOPENTANE(SITE-LP_LakePark) PPBC","2,4-DIMETHYLPENTANE(SITE-LP_LakePark) PPBC","BENZENE(SITE-LP_LakePark) PPBC","CYCLOHEXANE(SITE-LP_LakePark) PPBC","2-METHYLHEXANE(SITE-LP_LakePark) PPBC","2,3-DIMETHYLPENTANE(SITE-LP_LakePark) PPBC","3-METHYLHEXANE(SITE-LP_LakePark) PPBC","2,2,4-TRIMETHYLPENTANE(SITE-LP_LakePark) PPBC","N-HEPTANE(SITE-LP_LakePark) PPBC","METHYLCYCLOHEXANE(SITE-LP_LakePark) PPBC","2,3,4-TRIMETHYLPENTANE(SITE-LP_LakePark) PPBC","TOLUENE(SITE-LP_LakePark) PPBC","2-METHYLHEPTANE(SITE-LP_LakePark) PPBC","3-METHYLHEPTANE(SITE-LP_LakePark) PPBC","N-OCTANE(SITE-LP_LakePark) PPBC","ETHYLBENZENE(SITE-LP_LakePark) PPBC","M&P-XYLENE(SITE-LP_LakePark) PPBC","STYRENE(SITE-LP_LakePark) PPBC","O-XYLENE(SITE-LP_LakePark) PPBC","N-NONANE(SITE-LP_LakePark) PPBC","ISO-PROPYLBENZENE(SITE-LP_LakePark) PPBC","ALPHA-PINENE(SITE-LP_LakePark) PPBC","N-PROPYLBENZENE(SITE-LP_LakePark) PPBC","M-ETHYLTOLUENE(SITE-LP_LakePark) PPBC","P-ETHYLTOLUENE(SITE-LP_LakePark) PPBC","1,3,5-TRI-M-BENZENE(SITE-LP_LakePark) PPBC","O-ETHYLTOLUENE(SITE-LP_LakePark) PPBC","BETA-PINENE(SITE-LP_LakePark) PPBC","1,2,4-TRI-M-BENZENE(SITE-LP_LakePark) PPBC","N-DECANE(SITE-LP_LakePark) PPBC","1,2,3-TRI-M-BENZENE(SITE-LP_LakePark) PPBC","M-DIETHYLBENZENE(SITE-LP_LakePark) PPBC","P-DIETHYLBENZENE(SITE-LP_LakePark) PPBC","N-UNDECANE(SITE-LP_LakePark) PPBC","N-DODECANE(SITE-LP_LakePark) PPBC","TNMHC(SITE-LP_LakePark) PPBC","TNMTC(SITE-LP_LakePark) PPBC"
"","Ethane","Ethylene","Propane","Propylene","Iso-butane","N-butane","Acetylene","Trans-2-butene","1-butene","Cis-2-butene","Cyclopentane","Iso-pentane","N-pentane","1,3-butadiene","Trans-2-pentene","1-pentene","Cis-2-pentene","2,2-dimethylbutane","2,3-dimethylbutane","2-methylpentane","3-methylpentane","Isoprene","2-methyl-1-pentene","1-hexene","N-hexane","Methylcyclopentane","2,4-dimethylpentane","Benzene","Cyclohexane","2-methylhexane","2,3-dimethylpentane","3-methylhexane","2,2,4-trimethylpentane","N-heptane","Methylcyclohexane","2,3,4-trimethylpentane","Toluene","2-methylheptane","3-methylheptane","N-octane","Ethylbenzene","M&p-xylene","Styrene","O-xylene","N-nonane","Iso-propylbenzene","Alpha-pinene","N-propylbenzene","M-ethyltoluene","P-ethyltoluene","1,3,5-tri-m-benzene","O-ethyltoluene","Beta-pinene","1,2,4-tri-m-benzene","N-decane","1,2,3-tri-m-benzene","M-diethylbenzene","P-diethylbenzene","N-undecane","N-dodecane","TNMHC","TNMTC"
"DATE/TIME","43202","43203","43204","43205","43214","43212","43206","43216","43280","43217","43242","43221","43220","43218","43226","43224","43227","43244","43284","43285","43230","43243","43246","43245","43231","43262","43247","45201","43248","43263","43291","43249","43250","43232","43261","43252","45202","43960","43253","43233","45203","45109","45220","45204","43235","45210","43256","45209","45212","45213","45207","45211","43257","45208","43238","45225","45218","45219","43954","43141","43102","43000"
"08/02/2025 22:00","1.417","1.4816","1.4275","1.3869","1.4632","1.6036","0.0367","1.4807","1.4545","1.5316","1.4927","1.4875","1.5228","1.3589","1.4442","1.4723","1.4302","1.5071","1.5141","1.5133","1.5061","0.9819","0","1.4597","1.4889","1.4402","1.5262","1.776","1.4995","1.5088","1.5058","1.5517","1.4757","1.6789","1.5124","1.5175","1.7426","1.5048","1.509","1.5383","1.423","1.5927","1.1977","1.429","1.5271","1.4889","0.0941","1.4224","1.4415","1.3211","1.4067","1.4249","0.1739","1.5239","1.4646","1.3385","1.2977","1.3521","1.5623","1.358","85.8641","82.5905"
"08/09/2025 22:00","1.4315","1.4993","1.4199","1.3991","1.4267","1.5525","0.0451","1.4877","1.4475","1.5601","1.497","1.4797","1.522","1.3364","1.4508","1.4758","1.4275","1.4853","1.4704","1.4884","1.5086","1.0159","0","1.4739","1.5286","1.4383","1.5547","1.8386","1.4823","1.4861","1.4861","1.6112","1.5016","1.6498","1.5097","1.5305","1.7575","1.5753","1.5275","1.5793","1.446","1.4612","1.1104","1.4326","1.5192","1.4733","0.09","1.4188","1.4041","1.2943","1.395","1.398","0.0966","1.4666","1.4511","1.4088","1.2663","1.3147","1.5139","1.312","85.566","82.2311"
"08/16/2025 22:00","1.4108","1.417","1.3824","1.4086","1.4801","1.5735","0","1.4657","1.4661","1.5514","1.5195","1.4659","1.5147","1.3408","1.4327","1.45","1.4127","1.5032","1.4809","1.5073","1.4898","1.0029","0","1.4778","1.4833","1.4823","1.5766","1.8437","1.4477","1.5031","1.5216","1.6874","1.4608","1.6483","1.5358","1.5094","1.711","1.5462","1.5152","1.5109","1.4973","1.4612","1.1714","1.4691","1.4874","1.5143","0.0516","1.4494","1.4961","1.3512","1.3971","1.3975","0.0847","1.4256","1.4619","1.351","1.2977","1.2952","1.5566","1.3449","86.493","82.2983"
"08/23/2025 22:00","1.4162","1.3933","2.2094","1.685","1.4684","1.5772","0","1.4805","1.4762","1.5374","1.4774","1.4459","1.4921","1.3379","1.416","1.4682","1.3937","1.4902","1.475","1.4826","1.5038","0.9878","0","1.4554","1.5424","1.4311","1.5339","1.8012","1.4623","1.4903","1.4612","1.6649","1.4406","1.7082","1.5105","1.5216","1.7668","1.5653","1.5532","1.6526","1.4763","1.5175","1.1438","1.4644","1.5001","1.4984","0.0973","1.3769","1.464","1.3402","1.3752","1.4381","0.0701","1.5237","1.4742","1.3232","1.31","1.2914","1.5948","1.3277","87.4403","83.383"
"08/30/2025 22:00","1.4562","1.4541","1.3836","1.3898","1.4725","1.5549","0","1.5154","1.4508","1.5477","1.4919","1.4853","1.503","1.3383","1.4444","1.4624","1.4125","1.4846","1.4838","1.5114","1.4964","0.9909","0","1.4494","1.5141","1.4967","1.5991","1.8265","1.4385","1.4797","1.4663","1.5846","1.5702","1.6634","1.5154","1.5196","1.7679","1.4816","1.5094","1.5139","1.4147","1.4659","1.0883","1.4009","1.4598","1.485","0.0699","1.3863","1.4379","1.3047","1.3585","1.3706","0.0646","1.42","1.4305","1.2986","1.2797","1.2897","1.5547","1.2408","84.6982","81.5473"
"09/06/2025 22:00","1.4628","1.3544","1.382","1.3251","1.4418","1.5277","0","1.4061","1.4164","1.4745","1.4296","1.4352","1.4626","1.2742","1.3684","1.3962","1.337","1.4496","1.4467","1.4568","1.4525","0.9654","0.0019","1.4271","1.4757","1.3933","1.5012","1.7585","1.4175","1.4542","1.5596","1.556","1.422","1.6677","1.4736","1.4612","1.7445","1.4666","1.4423","1.4326","1.4347","1.618","1.0327","1.3697","1.3663","1.4039","0.0652","1.3606","1.402","1.2708","1.3073","1.3117","0.0658","1.3961","1.375","1.2183","1.2009","1.2788","1.416","1.1886","83.7889","79.0029"
"09/13/2025 22:00","1.475","1.4222","1.4236","1.3908","1.4758","1.6168","0","1.5209","1.5236","1.5826","1.5199","1.4869","1.5568","1.4009","1.4871","1.4873","1.4453","1.5067","1.4937","1.5088","1.5308","1.0078","0","1.4659","1.5165","1.4598","1.5424","1.8252","1.5882","1.4844","1.4536","1.5757","1.5199","1.7025","1.5084","1.5439","1.7811","1.5579","1.553","1.5698","1.4302","1.4791","1.0626","1.436","1.5137","1.5084","0.0792","1.3408","1.399","1.2901","1.3476","1.3863","0.0677","1.4307","1.4872","1.3236","1.2871","1.3323","1.4608","1.1714","86.8254","82.3453"
"09/20/2025 22:00","1.5024","1.4127","1.4457","1.4166","1.5201","1.7161","0","1.59","1.5737","1.6547","1.5665","1.5393","1.5543","1.4362","1.4844","1.4818","1.4391","1.5236","1.5347","1.5545","1.5426","0.9936","0.006","1.5298","1.5825","1.4988","1.6543","1.9144","1.5729","1.5413","1.5844","1.5481","1.5817","1.6713","1.5269","1.4978","1.8405","1.5536","1.5808","1.5619","1.446","1.5039","1.0773","1.4653","1.4455","1.515","0.083","1.3612","1.4028","1.288","1.3718","1.3374","0.0888","1.4914","1.4279","1.2988","1.2453","1.2359","1.5371","1.2128","87.8962","83.5648"
